component,unit_cost,quantity,mfg_cost,labourer,design_wks,design_cost,redesign_wks,redesign_cost
BOARD-SCKT A83-S,25,1,14,internal,8,1250,0,0
CPU EP7500FE,15,1,0,agency,0,0,4,2000
ULA GX,5,1,0,agency,5,2000,3,2000
RAM 512Kb,10,4,0,agency,0,0,2,2000
ROM 32K,4,1,0,agency,4,2000,1,2000
ROM 16K,2,1,0,agency,4,2000,1,2000
AMIDISP XVZ,55,1,0,agency,0,0,4,2000
IOP-S 16550 UART Serial,5,2,0,agency,0,0,1,2000
IOP-J SC150 2ch joy/mse/kbd,15,2,0,agency,0,0,1,2000
INTSND YM2149 3ch sound,2.5,1,0,agency,0,0,1,2000
STORAGE cartridge,5,2,0,agency,0,0,2,2000
CASE Desktop,25,1,20,agency,10,2000,5,2000
Misc resistors and caps,0.5,100,0,none,0,0,0,0
